sep=;
ID;Description;weight-gr;Type;Color;Size;Price;EU 1st item;EU additional;near-EU 1st item;near-EU additional;wwide 1st item;ww additional
4876;Next Level 3600 Premium Fitted Short Sleeve Crew with Tear Away Label (White / XL);187.1;Apparel;White;XL;12.64;5;0.75;8;1;10;1.2
4877;Next Level 3600 Premium Fitted Short Sleeve Crew with Tear Away Label (White / 2XL);201.3;Apparel;White;2XL;13.95;5;0.75;8;1;10;1.2
4878;Next Level 3600 Premium Fitted Short Sleeve Crew with Tear Away Label (White / 3XL);212.6;Apparel;White;3XL;15.26;5;0.75;8;1;10;1.2
4879;Next Level 3600 Premium Fitted Short Sleeve Crew with Tear Away Label (Heather Grey / XS);127.6;Apparel;Heather Grey;XS;12.64;5;0.75;8;1;10;1.2
4880;Next Level 3600 Premium Fitted Short Sleeve Crew with Tear Away Label (Heather Grey / S);133.2;Apparel;Heather Grey;S;12.64;5;0.75;8;1;10;1.2
4881;Next Level 3600 Premium Fitted Short Sleeve Crew with Tear Away Label (Heather Grey / M);161.6;Apparel;Heather Grey;M;12.64;5;0.75;8;1;10;1.2
4882;Next Level 3600 Premium Fitted Short Sleeve Crew with Tear Away Label (Heather Grey / L);170.1;Apparel;Heather Grey;L;12.64;5;0.75;8;1;10;1.2
4883;Next Level 3600 Premium Fitted Short Sleeve Crew with Tear Away Label (Heather Grey / XL);187.1;Apparel;Heather Grey;XL;12.64;5;0.75;8;1;10;1.2
4884;Next Level 3600 Premium Fitted Short Sleeve Crew with Tear Away Label (Heather Grey / 2XL);201.3;Apparel;Heather Grey;2XL;13.95;5;0.75;8;1;10;1.2
4885;Next Level 3600 Premium Fitted Short Sleeve Crew with Tear Away Label (Heather Grey / 3XL);212.6;Apparel;Heather Grey;3XL;15.26;5;0.75;8;1;10;1.2
4886;Next Level 3600 Premium Fitted Short Sleeve Crew with Tear Away Label (Midnight Navy / XS);127.6;Apparel;Midnight Navy;XS;12.64;5;0.75;8;1;10;1.2
4887;Next Level 3600 Premium Fitted Short Sleeve Crew with Tear Away Label (Midnight Navy / S);133.2;Apparel;Midnight Navy;S;12.64;5;0.75;8;1;10;1.2
4888;Next Level 3600 Premium Fitted Short Sleeve Crew with Tear Away Label (Midnight Navy / M);161.6;Apparel;Midnight Navy;M;12.64;5;0.75;8;1;10;1.2
4889;Next Level 3600 Premium Fitted Short Sleeve Crew with Tear Away Label (Midnight Navy / L);170.1;Apparel;Midnight Navy;L;12.64;5;0.75;8;1;10;1.2
4890;Next Level 3600 Premium Fitted Short Sleeve Crew with Tear Away Label (Midnight Navy / XL);187.1;Apparel;Midnight Navy;XL;12.64;5;0.75;8;1;10;1.2
4891;Next Level 3600 Premium Fitted Short Sleeve Crew with Tear Away Label (Midnight Navy / 2XL);201.3;Apparel;Midnight Navy;2XL;13.95;5;0.75;8;1;10;1.2
4892;Next Level 3600 Premium Fitted Short Sleeve Crew with Tear Away Label (Midnight Navy / 3XL);212.6;Apparel;Midnight Navy;3XL;15.26;5;0.75;8;1;10;1.2
5047;Next Level 3900 Ladies' The Boyfriend Tee with Tear Away Label (White / XS);96.4;Apparel;White;XS;13.08;5;0.75;8;1;10;1.2
5048;Next Level 3900 Ladies' The Boyfriend Tee with Tear Away Label (White / S);102.1;Apparel;White;S;13.08;5;0.75;8;1;10;1.2
5049;Next Level 3900 Ladies' The Boyfriend Tee with Tear Away Label (White / M);116.2;Apparel;White;M;13.08;5;0.75;8;1;10;1.2
5050;Next Level 3900 Ladies' The Boyfriend Tee with Tear Away Label (White / L);113.4;Apparel;White;L;13.08;5;0.75;8;1;10;1.2
5051;Next Level 3900 Ladies' The Boyfriend Tee with Tear Away Label (White / XL);130.4;Apparel;White;XL;13.08;5;0.75;8;1;10;1.2
