sep=;
ID;Description;weight-gr;Type;Color;Size;Price;shipping
1471;European Apparel 2201W Youth Fine Jersey Short Sleeve T-Shirt (Pink / 8yrs);85.05;Apparel;Pink;8yrs;13.04;8
1472;European Apparel 2201W Youth Fine Jersey Short Sleeve T-Shirt (Fuchsia / 8yrs);85.05;Apparel;Fuchsia;8yrs;13.04;8
1473;European Apparel 2201W Youth Fine Jersey Short Sleeve T-Shirt (Purple / 8yrs);85.05;Apparel;Purple;8yrs;13.04;8
1474;European Apparel 2201W Youth Fine Jersey Short Sleeve T-Shirt (Navy / 8yrs);85.05;Apparel;Navy;8yrs;13.04;8
1476;European Apparel 2201W Youth Fine Jersey Short Sleeve T-Shirt (Baby Blue / 8yrs);85.05;Apparel;Baby Blue;8yrs;13.04;8
1481;European Apparel 2201W Youth Fine Jersey Short Sleeve T-Shirt (Heather Grey / 8yrs);85.05;Apparel;Heather Grey;8yrs;13.04;8
1482;European Apparel 2201W Youth Fine Jersey Short Sleeve T-Shirt (Slate / 8yrs);85.05;Apparel;Slate;8yrs;13.04;8
1483;European Apparel 2201W Youth Fine Jersey Short Sleeve T-Shirt (Black / 10yrs);93.55;Apparel;Black;10yrs;13.04;8
1484;European Apparel 2201W Youth Fine Jersey Short Sleeve T-Shirt (White / 10yrs);93.55;Apparel;White;10yrs;12.16;8
1486;European Apparel 2201W Youth Fine Jersey Short Sleeve T-Shirt (Red / 10yrs);93.55;Apparel;Red;10yrs;13.04;8
1491;European Apparel 2201W Youth Fine Jersey Short Sleeve T-Shirt (Pink / 10yrs);93.55;Apparel;Pink;10yrs;13.04;8
1492;European Apparel 2201W Youth Fine Jersey Short Sleeve T-Shirt (Fuchsia / 10yrs);93.55;Apparel;Fuchsia;10yrs;13.04;8
1493;European Apparel 2201W Youth Fine Jersey Short Sleeve T-Shirt (Purple / 10yrs);93.55;Apparel;Purple;10yrs;13.04;8
1494;European Apparel 2201W Youth Fine Jersey Short Sleeve T-Shirt (Navy / 10yrs);93.55;Apparel;Navy;10yrs;13.04;8
1496;European Apparel 2201W Youth Fine Jersey Short Sleeve T-Shirt (Baby Blue / 10yrs);93.55;Apparel;Baby Blue;10yrs;13.04;8
1501;European Apparel 2201W Youth Fine Jersey Short Sleeve T-Shirt (Heather Grey / 10yrs);93.55;Apparel;Heather Grey;10yrs;13.04;8
1502;European Apparel 2201W Youth Fine Jersey Short Sleeve T-Shirt (Slate / 10yrs);93.55;Apparel;Slate;10yrs;13.04;8
1503;European Apparel 2201W Youth Fine Jersey Short Sleeve T-Shirt (Black / 12yrs);116.23;Apparel;Black;12yrs;13.04;8
1504;European Apparel 2201W Youth Fine Jersey Short Sleeve T-Shirt (White / 12yrs);116.23;Apparel;White;12yrs;12.16;8
1506;European Apparel 2201W Youth Fine Jersey Short Sleeve T-Shirt (Red / 12yrs);116.23;Apparel;Red;12yrs;13.04;8
1511;European Apparel 2201W Youth Fine Jersey Short Sleeve T-Shirt (Pink / 12yrs);116.23;Apparel;Pink;12yrs;13.04;8
1512;European Apparel 2201W Youth Fine Jersey Short Sleeve T-Shirt (Fuchsia / 12yrs);116.23;Apparel;Fuchsia;12yrs;13.04;8
